recommendation,username,name,profile_url,profile_image_url,followers_count,following_count,listed_count,created_at,tweets_found,total_likes,total_retweets,total_replies,total_engagement,engagement_rate,recommendation_reason,sample_tweet_1,sample_tweet_2,sample_tweet_3,tweet_date_1,tweet_date_2,tweet_date_3,tweet_url_1,tweet_url_2,tweet_url_3
Consider,0x_scientist,scientist,https://x.com/0x_scientist,https://pbs.twimg.com/profile_images/1875946885267013632/OffC4M9e_normal.jpg,2163,1038,47,2020-06-23T12:24:41.000Z,1,12,0,1,13,0.0060,"ER 0.60%, 13 engagements","i've been lucky on the polymarket 5 min chart, i think i roll some more",,,2026-02-12T22:36:47.000Z,,,https://x.com/0x_scientist/status/2022077451082641621,,
Consider,0xNasta,Nasta™,https://x.com/0xNasta,https://pbs.twimg.com/profile_images/2000942484835147785/DqUJKKUe_normal.jpg,3541,1155,28,2021-11-05T15:23:41.000Z,1,5,0,2,7,0.0020,"ER 0.20%, 7 engagements","I found how to make $1M in 10 days trading Polymarket 5-min Bitcoin markets

and I’m sharing the strat publicly, nuking my own edge

please stop engaging with these farming posts

if they could really make that much money, there’d be no reason to share the strat

same goes for",,,2026-02-16T08:39:40.000Z,,,https://x.com/0xNasta/status/2023316337259426220,,
Consider,imthatcarlos,carlosbeltran.eth,https://x.com/imthatcarlos,https://pbs.twimg.com/profile_images/2018062456753385472/8P8VTA47_normal.jpg,2234,1828,49,2014-08-23T01:40:59.000Z,1,1,0,3,4,0.0018,"ER 0.18%, 4 engagements","my clawd is such a G

after fine tuning our @Polymarket 5min BTC arb bot 

AND completing a 5 win streak 

he tells me to get some sleep while he holds it down 🥲🫡 https://t.co/amdZDoiyf6",,,2026-02-14T05:29:48.000Z,,,https://x.com/imthatcarlos/status/2022543778989641777,,
Consider,VitaliiTrade,Vitalii I. 🥷🌊,https://x.com/VitaliiTrade,https://pbs.twimg.com/profile_images/1955600620200566784/LMRQN18w_normal.png,4609,2587,53,2021-11-03T13:11:54.000Z,2,12,0,4,16,0.0017,"ER 0.17%, 16 engagements",@xiaaweb3 @Euphoria_fi Will you participate?,". @Euphoria_fi  testnet is live and access is still semi-gated, which usually means teams are filtering for early power users before scaling

perp dex with tap-trading mechanics feels like gamified order execution + fast decision loops, closer to prediction markets UX than https://t.co/NPvgUZhXt3",,2026-02-18T15:41:18.000Z,2026-02-18T12:20:00.000Z,,https://x.com/VitaliiTrade/status/2024147218370875582,https://x.com/VitaliiTrade/status/2024096559391252951,
Consider,Iuvnriki,RikiLuxen,https://x.com/Iuvnriki,https://pbs.twimg.com/profile_images/2001717387075153920/wZvEmseJ_normal.jpg,2344,607,9,2022-02-02T08:25:21.000Z,3,7,1,3,11,0.0016,"ER 0.16%, 11 engagements",@victor_alenc @Euphoria_fi same,@Euphoria_fi grins up 28k leaderboard top time to hunt,"Saw a clawdbot cleaning up with $40k a day on Polymarket 5-min BTC markets.

Feels like the game just changed overnight. 

Humans setting alarms, sweating every tick. Meanwhile, some script just sits back and collects.

Makes you question what ""edge"" even means now. https://t.co/KMu5UzMp3I",2026-02-18T15:44:23.000Z,2026-02-18T15:28:35.000Z,2026-02-14T16:35:00.000Z,https://x.com/Iuvnriki/status/2024147993759236299,https://x.com/Iuvnriki/status/2024144018787975301,https://x.com/Iuvnriki/status/2022711180641612271
Consider,Phoenix_jnr,Phoenix,https://x.com/Phoenix_jnr,https://pbs.twimg.com/profile_images/1603787086657716227/J51PcEUl_normal.jpg,2024,1991,11,2020-03-29T18:38:22.000Z,1,2,0,1,3,0.0015,"ER 0.15%, 3 engagements",@Euphoria_fi Can I get a code too? https://t.co/Goc5IygZ1T,,,2026-02-18T15:23:42.000Z,,,https://x.com/Phoenix_jnr/status/2024142789080924474,,
Consider,HeyDrops,crazyDrops ☄,https://x.com/HeyDrops,https://pbs.twimg.com/profile_images/1795725673077866496/ufAn0Gq0_normal.jpg,2912,298,92,2024-05-29T07:54:35.000Z,2,7,0,1,8,0.0014,"ER 0.14%, 8 engagements","@ffllegion @Euphoria_fi i don't really have, Dm them.","It’s the future of trading?

feels more like gambling in such a short time frame but ngl it’s addictive. 

@Euphoria_fi is live right now on testnet, you just need to enter and try it out.. https://t.co/RQ7MOaSH3X https://t.co/6AWLf9guq4",,2026-02-18T18:33:20.000Z,2026-02-18T17:50:44.000Z,,https://x.com/HeyDrops/status/2024190512811692237,https://x.com/HeyDrops/status/2024179792661401895,
Consider,rcivNFT,rciv,https://x.com/rcivNFT,https://pbs.twimg.com/profile_images/1962922953277874176/0b7uLu8F_normal.png,8803,3116,164,2008-11-01T21:14:10.000Z,1,8,0,4,12,0.0014,"ER 0.14%, 12 engagements","claude,

take realtime data from euphoria, hyperliquid, and polymarket 5 min up/down markets

find any inefficiencies and take trades

make no mistakes https://t.co/Gp8Vx6sRYj",,,2026-02-17T12:36:04.000Z,,,https://x.com/rcivNFT/status/2023738214867951967,,
Consider,0xgokdeniz,"Gökdeniz(❖,❖)",https://x.com/0xgokdeniz,https://pbs.twimg.com/profile_images/1957892606442033152/5lhoY6uO_normal.jpg,2208,2438,8,2014-02-20T19:00:06.000Z,1,2,0,1,3,0.0014,"ER 0.14%, 3 engagements",@Euphoria_fi still no code,,,2026-02-18T15:24:02.000Z,,,https://x.com/0xgokdeniz/status/2024142873763917954,,
Consider,abdullahrrafi2,Rider,https://x.com/abdullahrrafi2,https://pbs.twimg.com/profile_images/2019304825465540608/iV_5tvsg_normal.jpg,3016,1482,12,2025-02-22T18:06:41.000Z,1,2,0,2,4,0.0013,"ER 0.13%, 4 engagements","How to trade @Polymarket 5-min crypto markets without blowing up:

1️⃣ Set limit bids - don’t chase.
2️⃣ Size wisely - &lt;1/8 Kelly
3️⃣ Trade wicks, not trends

Cold execution. No emotion. Survive the chaos. 
Start with Polycool TG bot.. https://t.co/Y51UfitLXv",,,2026-02-17T07:30:18.000Z,,,https://x.com/abdullahrrafi2/status/2023661267949695068,,
Consider,mrBORO,mrBORO,https://x.com/mrBORO,https://pbs.twimg.com/profile_images/1950689999768223744/e8b_Zesc_normal.jpg,2522,1799,33,2020-05-22T03:06:58.000Z,1,1,1,1,3,0.0012,"ER 0.12%, 3 engagements","@DeFiChronicles broo! i don't believe on polymarket 5 min or any time format market. today i placed bid up and the market was closing up.

after market closed UP, the market suddenly went down but when i check my PF, polymarket allowed me to claim the total amount of $138,334 and even i redeemed https://t.co/nWLR6Rf6QI",,,2026-02-15T01:15:54.000Z,,,https://x.com/mrBORO/status/2022842271826092147,,
Consider,invincible_oo7,𝐈𝐧𝐯𝐢𝐧𝐜𝐢𝐛𝐥𝐞 ( ᴅᴏᴡɴꜰᴀʟʟ ᴀʀᴄ ),https://x.com/invincible_oo7,https://pbs.twimg.com/profile_images/2019546543788027905/tAOowcz3_normal.jpg,2539,2270,6,2022-11-24T13:16:57.000Z,1,3,0,0,3,0.0012,"ER 0.12%, 3 engagements","Testing something automated 👀

@openclaw is 8th wonder

Will improve more bec it's filled only 4 bets in 30mins 

The @Polymarket 5min prediction is a money glitch. https://t.co/hBHoUgkacO",,,2026-02-15T14:08:44.000Z,,,https://x.com/invincible_oo7/status/2023036759077277782,,
Consider,web3xJQ,web3xJQ,https://x.com/web3xJQ,https://pbs.twimg.com/profile_images/1729663464032108544/5nBTl95g_normal.jpg,4699,2538,7,2023-08-31T12:54:59.000Z,1,4,0,1,5,0.0011,"ER 0.11%, 5 engagements","Polymarket 5-min BTC Up or Down: 51% Up 

""We think BTC might go up... or it might yeet down in 5 minutes. 

Good luck, degens!"" 🤡

This is peak crypto – betting on price action shorter than my attention span. 

Bet yet? Or still pretending you're ""just watching""? 
Come on, https://t.co/tPI44Z7IDm",,,2026-02-15T11:20:55.000Z,,,https://x.com/web3xJQ/status/2022994526433091679,,
Consider,lbtc200,Lbtc200,https://x.com/lbtc200,https://pbs.twimg.com/profile_images/1969456111401984001/VU8iGcX__normal.jpg,2407,1678,14,2021-03-15T19:35:56.000Z,1,1,0,1,2,0.0008,"ER 0.08%, 2 engagements",@Novee_VeenoX @monad Looks like @Euphoria_fi ! Pretty dope,,,2026-02-18T17:36:03.000Z,,,https://x.com/lbtc200/status/2024176095436693896,,
Consider,jamesrosst,James Ross,https://x.com/jamesrosst,https://pbs.twimg.com/profile_images/1038426325353226240/W7JHSlJo_normal.jpg,17808,2441,358,2012-01-05T22:16:32.000Z,1,11,0,2,13,0.0007,"ER 0.07%, 13 engagements","Polymarket 5 min markets for UP/DOWN BTC are LIVE 

- early reports say they do have taker fees similar to the 15 min markets 

- no maker fees if you place a limit order that rests on the book + looks like also rewards 

- expecting these to expand to other crypto assets 

- https://t.co/Qv7MYqxVaB",,,2026-02-12T10:29:09.000Z,,,https://x.com/jamesrosst/status/2021894337240465460,,
Consider,EasyEatsBodega,Easy,https://x.com/EasyEatsBodega,https://pbs.twimg.com/profile_images/1962922966326427648/LTLWaY2y_normal.jpg,143459,4604,2454,2021-08-05T01:45:49.000Z,1,69,0,35,104,0.0007,"ER 0.07%, 104 engagements","Have you traded the Polymarket 5min markets? 

Better question, if you have, have you wondered why all of a sudden in the last 30 or so seconds, there are times where the 'underdog odds' SKYROCKET 

&amp;&amp; as the market concludes, that surging side wins? 

It's fairly straightforward https://t.co/7XVp6feTFy",,,2026-02-17T19:09:25.000Z,,,https://x.com/EasyEatsBodega/status/2023837207161680294,,
Consider,raychi_god,Raychi,https://x.com/raychi_god,https://pbs.twimg.com/profile_images/1887910046106841088/mhGJhtVQ_normal.jpg,3022,780,34,2022-11-01T17:56:33.000Z,1,1,0,1,2,0.0007,"ER 0.07%, 2 engagements","@TheEliteCrypto @Euphoria_fi bro this is what trading should feel like

finally some real excitement",,,2026-02-18T12:56:26.000Z,,,https://x.com/raychi_god/status/2024105731021033960,,
Consider,satswassie,satswassie,https://x.com/satswassie,https://pbs.twimg.com/profile_images/1793607247970598912/pJSLMwuN_normal.jpg,5630,1669,103,2019-02-23T08:35:42.000Z,1,3,0,0,3,0.0005,"ER 0.05%, 3 engagements","🚨 A man was discovered with 90% of his brain mass missing, and yet he was living a perfectly normal life... 

Doctors only realized something was off when they saw him posting polymarket 5 min strategy threads. https://t.co/ZhAUJ5L8bz",,,2026-02-17T22:05:18.000Z,,,https://x.com/satswassie/status/2023881466233737457,,
Consider,Avaxbro,Avaxbro 🔺,https://x.com/Avaxbro,https://pbs.twimg.com/profile_images/2021539091121078272/k2GVCYsG_normal.jpg,10772,8117,59,2013-09-20T17:28:35.000Z,2,8,1,2,11,0.0005,"ER 0.05%, 11 engagements","@laycon01_ @megaeth @Euphoria_fi @AveForge @404bunnies @MegaRebelNFT @oddslaunchpad @WCNetizens Yes, sadly just joined right after mainnet got launched but pushing harder than ever!","What have I done so far on @megaeth 

Joined 02/10 
• Bought Netizens (NWO)
• Clicked some buttons over at @Euphoria_fi 
• Minted MegaRebels and explored Odds Launchpad
• Played @AveForge (Hella Lot)
---
Coming up 
• GlitchyBunnies mint (19/02)
• Huntertales S1 Launching https://t.co/rSqOtZOq55 https://t.co/tnOb9AYEWQ",,2026-02-18T13:43:31.000Z,2026-02-18T13:11:58.000Z,,https://x.com/Avaxbro/status/2024117576175886536,https://x.com/Avaxbro/status/2024109639953011127,
Consider,0002daniell,danny,https://x.com/0002daniell,https://pbs.twimg.com/profile_images/2010238939538259968/RGHYBHDK_normal.jpg,2030,717,15,2024-05-20T08:45:36.000Z,1,1,0,0,1,0.0005,"ER 0.05%, 1 engagements",@Euphoria_fi no chinese lunar year code in dm?,,,2026-02-18T15:23:01.000Z,,,https://x.com/0002daniell/status/2024142619920515281,,
Consider,bricexeth,Brice,https://x.com/bricexeth,https://pbs.twimg.com/profile_images/1868703193330307072/j7-zWByw_normal.jpg,255521,124936,67,2014-04-15T02:07:05.000Z,2,127,0,121,248,0.0005,"ER 0.05%, 248 engagements",@Autosultan_team @Euphoria_fi Ready to build my winning streak 🔥,"Hey Claude, code me a billion-dollar Polymarket 5-min bot, I'm giving you $2, make no mistakes. https://t.co/lpD4poHlwA",,2026-02-18T16:10:02.000Z,2026-02-14T08:53:00.000Z,,https://x.com/bricexeth/status/2024154448201957795,https://x.com/bricexeth/status/2022594914471788655,
Consider,wlgns5388,이춘삼,https://x.com/wlgns5388,https://pbs.twimg.com/profile_images/2018655839876444160/YfhfQ7Nd_normal.jpg,4230,3172,81,2025-04-03T14:31:49.000Z,1,2,0,0,2,0.0005,"ER 0.05%, 2 engagements",@Euphoria_fi Plz code!!!! Knock Knock,,,2026-02-18T15:22:57.000Z,,,https://x.com/wlgns5388/status/2024142601264443694,,
Consider,Kikispams,Kiki♡︎❤︎,https://x.com/Kikispams,https://pbs.twimg.com/profile_images/2016102177039593472/SMLPrB9s_normal.jpg,10001,2513,48,2021-03-29T07:05:01.000Z,5,17,0,6,23,0.0005,"ER 0.05%, 23 engagements",@just_zazi @Euphoria_fi Sure let’s see if it works,"@just_zazi @Euphoria_fi Discord role 
Think I can refer",@Euphoria_fi i think there’s a glitch🙃 pwease “with a tiny popcorn on top” fix it so i can withdraw 😂 https://t.co/Y4OhR9y2Oj https://t.co/nOWuzctH9J,2026-02-18T14:44:00.000Z,2026-02-18T14:42:00.000Z,2026-02-18T14:31:48.000Z,https://x.com/Kikispams/status/2024132800031473937,https://x.com/Kikispams/status/2024132297608270123,https://x.com/Kikispams/status/2024129727762510280
Consider,Axel_bitblaze69,Axel Bitblaze 🪓,https://x.com/Axel_bitblaze69,https://pbs.twimg.com/profile_images/1883446587822608384/6eprnWjH_normal.jpg,126702,1162,1916,2015-04-23T15:32:31.000Z,1,37,0,21,58,0.0005,"ER 0.05%, 58 engagements","the degen in me wants to trade polymarket 5-min markets

the realist in me knows some quant built an AI army for this exact moment

discussing with my Ai agent rn with what we can do on this.. brb https://t.co/X4IO3l5Cek",,,2026-02-13T23:49:09.000Z,,,https://x.com/Axel_bitblaze69/status/2022458049231724560,,
Consider,dappeum,"dappy0070 (❖,❖)",https://x.com/dappeum,https://pbs.twimg.com/profile_images/1983191461756846080/odEBFXtX_normal.jpg,5526,2864,17,2022-02-17T07:15:38.000Z,2,4,0,1,5,0.0005,"ER 0.05%, 5 engagements","If I start playing this before bed, I feel like I won’t be able to sleep until sunrise.
It’s super addictive!!
But why does it only move to empty spaces? Is this a bug? lol
It seems like it’s avoiding only the spots I tapped🐰

@Euphoria_fi https://t.co/lUDNxBT1O4",@AbyssGang @Euphoria_fi This is erasing my whole day!,,2026-02-18T12:49:11.000Z,2026-02-18T12:31:06.000Z,,https://x.com/dappeum/status/2024103903080419719,https://x.com/dappeum/status/2024099354391281811,
Consider,ChartFu,ChartFu猴子,https://x.com/ChartFu,https://pbs.twimg.com/profile_images/2004561299926114304/bmjbwXYn_normal.jpg,119918,3222,1368,2018-10-27T02:53:11.000Z,1,38,0,15,53,0.0004,"ER 0.04%, 53 engagements","created a bot for trading polymarket 5min $BTC markets

3x starting bankroll in 48h, 650 trades",,,2026-02-17T14:00:42.000Z,,,https://x.com/ChartFu/status/2023759512986153223,,
Consider,SoLegendary,SoLegendary,https://x.com/SoLegendary,https://pbs.twimg.com/profile_images/2013966271277092864/IwZdf9A8_normal.jpg,4733,3483,31,2020-07-18T13:48:26.000Z,1,1,0,1,2,0.0004,"ER 0.04%, 2 engagements","@BetmanJoe @bankrbot @Euphoria_fi The changes have completely killed X for me now, just not interested anymore.",,,2026-02-18T17:51:53.000Z,,,https://x.com/SoLegendary/status/2024180080709193855,,
Consider,iFlexson,Flexson,https://x.com/iFlexson,https://pbs.twimg.com/profile_images/2023894015696052225/fcTQvbqp_normal.jpg,7292,3935,51,2021-12-31T03:17:05.000Z,1,3,0,0,3,0.0004,"ER 0.04%, 3 engagements",".@Euphoria_fi has been the most fun web3 app I have tried

Went from 1k &gt; 2k, then started gambling more and lost it all, had to top up 3 times, decided to be more strategic and gamble less and I now sit #11 on the leaderboard 

I am coming for that Rolex

Netizens in control https://t.co/LRRQPm8IDH",,,2026-02-18T16:21:59.000Z,,,https://x.com/iFlexson/status/2024157459116351541,,
Consider,0x_saurav,Saurav,https://x.com/0x_saurav,https://pbs.twimg.com/profile_images/1908240599129415680/g2ALrCRb_normal.jpg,3663,1388,148,2017-01-01T04:39:24.000Z,2,2,0,1,3,0.0004,"ER 0.04%, 3 engagements",@cryptovcdegen polymarket 5-min markets are the new money making machines,@MaransCrypto polymarket 5 min crypto markets,,2026-02-14T14:03:15.000Z,2026-02-12T10:32:00.000Z,,https://x.com/0x_saurav/status/2022672994179678426,https://x.com/0x_saurav/status/2021895054353478073,
Consider,web3tokenomics,Pope,https://x.com/web3tokenomics,https://pbs.twimg.com/profile_images/1988363121979727872/fRQ3BYdl_normal.jpg,3679,1024,106,2014-12-27T13:27:35.000Z,2,2,0,1,3,0.0004,"ER 0.04%, 3 engagements","People who say that through the API you have 60 seconds ahead on Polymarket 5 min up/down markets are all lying.

Explain how do I open the page with 20s left, throw $5 on the losing side at 2-3c and win 3 times in past 2 days? 🤡","Now that everyone is on the Polymarket 5 min, I'm finding the 15 min markets 100x more attractive.

Thank you degens.",,2026-02-18T10:32:27.000Z,2026-02-17T14:40:56.000Z,,https://x.com/web3tokenomics/status/2024069493526241363,https://x.com/web3tokenomics/status/2023769638354432013,
Consider,nftsamuraii,Samurai`,https://x.com/nftsamuraii,https://pbs.twimg.com/profile_images/1924064640713003008/_btTpvPf_normal.jpg,2009,921,53,2020-06-10T10:17:33.000Z,4,2,0,1,3,0.0004,"ER 0.04%, 3 engagements",@JoestarCrypto @Euphoria_fi just one viral app,@bread_ @Euphoria_fi @amiralmaimani good job megaeth team.,@AbyssGang @Euphoria_fi looking forward to mainnet and real trading,2026-02-18T12:54:47.000Z,2026-02-18T12:53:26.000Z,2026-02-18T12:53:08.000Z,https://x.com/nftsamuraii/status/2024105315025698928,https://x.com/nftsamuraii/status/2024104974800577019,https://x.com/nftsamuraii/status/2024104899026337881
Consider,0xfarmor,Gustavo.🏴󠁧󠁢󠁥󠁮󠁧󠁿,https://x.com/0xfarmor,https://pbs.twimg.com/profile_images/1928473059419176960/MS8VbHiw_normal.jpg,35750,993,233,2014-05-03T01:26:36.000Z,1,8,3,2,13,0.0004,"ER 0.04%, 13 engagements","This is the reward for the @Euphoria_fi closed testnet:

state of the trenches https://t.co/gVFSlxiOaN https://t.co/zk9p8D6Eeh",,,2026-02-18T15:49:24.000Z,,,https://x.com/0xfarmor/status/2024149255485571228,,
Consider,drop_grl,LUX,https://x.com/drop_grl,https://pbs.twimg.com/profile_images/1961853091784830976/9Zxn9dbY_normal.jpg,2877,1911,27,2025-03-04T11:24:19.000Z,1,1,0,0,1,0.0003,"ER 0.03%, 1 engagements","@0xSunex @Euphoria_fi love these amas, always learn something new about the project",,,2026-02-18T16:01:18.000Z,,,https://x.com/drop_grl/status/2024152251682414925,,
Consider,stephdreals,Stephanie,https://x.com/stephdreals,https://pbs.twimg.com/profile_images/1970469936871981056/pEBWxETg_normal.jpg,5989,3316,41,2015-12-06T12:50:45.000Z,1,1,0,1,2,0.0003,"ER 0.03%, 2 engagements","@Euphoria_fi Intern where is the code 😭
You tricked me !",,,2026-02-18T17:00:05.000Z,,,https://x.com/stephdreals/status/2024167046729064843,,
Consider,web3nursexbt,Web3nurse (comeback arc),https://x.com/web3nursexbt,https://pbs.twimg.com/profile_images/2012854146223734785/APn1MviW_normal.jpg,3020,487,3,2010-08-23T01:02:52.000Z,1,0,0,1,1,0.0003,"ER 0.03%, 1 engagements",@Euphoria_fi @bankrbot deploy $TEPATHON on @base,,,2026-02-18T16:31:05.000Z,,,https://x.com/web3nursexbt/status/2024159747985813552,,
Consider,KyleDeWriter,Kyle the Writer,https://x.com/KyleDeWriter,https://pbs.twimg.com/profile_images/1948513500654948352/-Kv67q0z_normal.jpg,9299,618,344,2021-11-10T14:33:49.000Z,2,4,1,1,6,0.0003,"ER 0.03%, 6 engagements","@sticktoshiZak as it said by rules, Polymarket 5 min/15 min markets resolutions are based on chainlink data, which has 80secs delay

sure resolution is proper and I have no doubts abt that, another q is there any possibility to avoid price chart delay",@said116dao @Polymarket 5-min markets are a pure work of art for those who know how to play them +EV,,2026-02-17T05:58:31.000Z,2026-02-15T11:14:24.000Z,,https://x.com/KyleDeWriter/status/2023638167471944107,https://x.com/KyleDeWriter/status/2022992888649650631,
Consider,IamSannwalaw,Doge Lawyer,https://x.com/IamSannwalaw,https://pbs.twimg.com/profile_images/1969710659014164480/muoWMPbO_normal.jpg,3126,1998,10,2022-01-17T20:58:06.000Z,1,1,0,0,1,0.0003,"ER 0.03%, 1 engagements",@Euphoria_fi When gib me code?,,,2026-02-18T15:25:34.000Z,,,https://x.com/IamSannwalaw/status/2024143257588944960,,
Consider,dankerwim,cpt dank,https://x.com/dankerwim,https://pbs.twimg.com/profile_images/1873522262931890176/wTEwl7aN_normal.jpg,3234,1675,135,2014-12-05T19:43:28.000Z,1,0,0,1,1,0.0003,"ER 0.03%, 1 engagements",@zoop_t @Euphoria_fi @404bunnies @deadbitnation feels like its been a while since there's been a nice tge,,,2026-02-18T15:14:06.000Z,,,https://x.com/dankerwim/status/2024140375418343737,,
Consider,vtes369,vtes🎴,https://x.com/vtes369,https://pbs.twimg.com/profile_images/1923327565340745728/k1CKo9vD_normal.jpg,3263,2642,37,2019-08-21T06:51:05.000Z,1,1,0,0,1,0.0003,"ER 0.03%, 1 engagements",@Euphoria_fi Amen,,,2026-02-18T15:56:25.000Z,,,https://x.com/vtes369/status/2024151022893957427,,
